"blackout shade","multi-use screwdriver","shovel","vacuum sealer","tool set","humidifier","air mattress","clothing iron","hairdryer","wireless receiver","fireextinguisher","toolbox","bike pump","snow shovel","coffee maker","pressure cooker","thermos","growler","travel mug","food thermometer","usb battery","blender","knife sharpener","electric kettle","electric toothbrush","toaster","carbonator","lumbar pillow","backpack","rainjacket","casserole pan","portable speaker","bluetooth keyfinder","smartphone tripod","portable gas grill","smart bathroom scale","christmas tree stand","drone for beginners","external harddrive","portable ice maker","cat bed","dog coat","bluetooth headphones","white noise machine","Amazon echo","sheet set","space heater","handheld vacuum","bath towel","sunrise alarm clock"
19,20,4,60,30,30,60,30,20,30,10,4,10,7,70,90,18,4,30,30,51,30,20,10,100,20,35,31,51,94,20,25,40,0,30,30,0,60,100,60,30,0,51,29,40,60,40,20,10,30
62,19,27,13,29,40,9,30,35,40,60,13,5,5,29,30,35,34,25,20,17,61,35,20,45,32,6,30,14,21,30,24,10,9,20,19,15,40,30,35,0,9,76,15,35,51,21,40,46,18
57,14,26,24,25,65,62,17,15,20,25,10,16,30,18,78,9,9,10,27,35,19,24,21,31,18,17,14,61,68,70,45,22,21,26,32,14,33,60,64,29,30,38,7,37,27,26,37,9,18
40,10,5,50,100,45,10,0,0,0,100,0,5,10,0,65,0,4,0,0,0,0,0,0,40,20,60,50,0,10,10,0,0,5,35,15,10,100,100,30,9,6,60,50,0,50,0,70,50,0
20,10,10,30,40,40,30,20,20,25,20,40,10,10,60,70,20,20,15,25,20,40,20,50,10,20,20,20,40,50,20,30,25,10,75,20,10,50,80,30,10,10,60,25,20,40,40,20,20,40
20,10,20,10,30,25,60,30,5,5,20,5,3,24,15,20,10,20,15,5,10,20,10,15,15,40,5,5,50,80,5,10,15,30,70,10,3,40,20,15,20,10,15,5,10,20,20,40,15,25
10,3,10,15,25,10,20,20,10,5,15,12,5,5,25,22,6,12,5,10,20,10,10,20,19,20,20,6,25,20,10,15,11,3,20,15,10,25,60,40,12,7,40,6,30,15,30,30,4,15
13,11,16,19,27,23,67,25,13,16,37,28,13,18,23,68,11,15,13,15,25,26,22,26,27,27,59,21,29,33,15,25,15,11,57,36,13,77,45,37,24,22,59,25,77,32,27,27,7,25
9,0,19,20,9,6,21,16,0,0,9,9,0,9,0,66,0,0,9,18,51,0,10,10,10,17,0,0,10,51,9,20,19,8,0,19,0,0,51,9,0,0,60,0,21,36,6,19,20,19
25,5,10,30,30,40,100,10,0,10,50,51,5,31,40,30,10,8,15,10,60,13,10,10,25,10,20,10,20,20,10,15,50,7,70,15,10,10,50,0,20,0,20,15,30,20,9,20,30,10
6,10,1,31,12,45,20,9,12,5,30,30,6,5,20,55,6,0,15,6,10,24,20,25,20,20,23,5,10,50,12,0,3,5,14,24,30,20,25,14,0,0,14,30,15,45,0,25,8,14
65,82,34,73,87,75,77,69,68,63,71,78,37,67,65,87,69,68,67,75,72,74,75,60,64,74,78,33,65,77,62,71,73,62,66,70,69,72,69,77,66,82,88,30,67,68,76,28,73,24
20,5,5,30,5,40,30,5,20,10,25,10,5,5,20,100,25,15,15,10,40,26,5,22,30,40,20,10,5,5,25,27,15,30,50,15,9,15,30,30,20,5,35,50,35,10,30,15,5,5
40,20,10,20,70,30,60,10,0,40,60,30,5,20,10,30,10,10,5,10,40,30,20,30,5,30,10,20,60,60,20,20,20,30,30,10,5,20,90,30,20,20,70,0,70,40,30,30,10,10
10,2,18,10,8,20,25,3,15,4,13,10,5,9,21,26,5,4,8,4,5,10,7,8,10,10,9,5,9,15,5,10,5,3,12,20,2,20,38,21,6,5,15,9,10,19,15,20,10,4
20,10,15,20,25,40,55,5,25,10,10,20,5,10,25,50,10,10,8,10,35,15,10,30,10,25,15,3,50,30,10,20,20,7,55,40,15,40,90,25,10,10,50,5,35,20,13,20,5,19
25,12,14,62,100,35,20,21,29,18,39,19,9,19,51,81,6,22,7,6,22,26,7,29,25,30,18,7,32,29,13,61,22,10,25,22,6,81,100,50,15,20,51,42,80,13,12,70,15,34
25,15,10,20,40,25,0,25,20,15,20,10,5,15,15,20,10,20,20,10,25,30,20,20,30,30,10,25,50,50,0,0,5,0,40,20,11,20,40,25,0,5,40,25,30,30,40,35,0,15
9,4,5,13,9,35,2,4,15,11,6,5,5,6,27,21,4,3,3,19,15,26,8,5,28,15,15,6,3,2,4,12,1,5,25,18,5,5,17,18,12,2,32,2,2,15,9,25,4,6
16,7,10,90,29,9,10,7,10,12,20,53,9,10,45,38,20,10,9,2,18,34,7,10,9,12,51,9,11,80,19,21,44,6,68,25,2,34,20,82,6,15,39,6,64,10,36,51,20,4
16,5,10,40,40,75,40,25,10,15,27,23,13,15,75,90,10,10,15,10,15,20,28,60,20,20,30,21,25,60,10,20,20,5,49,25,19,40,90,19,20,16,30,20,65,25,19,24,10,20
49,25,18,55,35,30,25,10,5,10,9,17,10,20,45,22,10,45,14,25,45,38,45,12,2,30,7,0,46,59,15,55,12,3,30,59,15,35,60,15,20,20,60,65,20,55,17,5,17,5
32,20,25,63,46,66,60,35,39,53,36,41,16,21,79,80,20,18,20,32,38,44,31,69,68,36,68,37,39,67,35,45,23,36,60,44,12,56,54,60,19,23,62,59,40,62,43,56,27,33
14,13,11,13,25,19,17,17,14,15,6,14,6,15,23,13,20,15,17,18,16,14,9,28,15,25,13,17,20,31,10,13,27,8,25,29,10,0,35,10,7,5,24,10,22,23,30,15,12,19
13,8,23,49,29,18,69,8,9,7,64,39,0,0,36,39,14,8,7,7,12,10,24,10,12,10,24,29,16,76,11,12,4,16,34,34,1,32,48,17,0,34,24,8,28,26,72,24,14,0
2,14,10,10,10,35,15,5,4,5,20,10,5,15,20,20,4,10,12,5,12,5,10,5,7,15,5,4,10,10,5,5,5,2,10,10,5,10,75,5,5,3,15,5,15,10,15,10,6,5
17,8,0,9,6,13,20,20,5,19,10,9,1,0,0,51,10,14,7,7,20,10,6,5,14,13,36,15,15,33,0,19,25,1,25,18,0,60,15,7,0,0,51,5,20,4,4,15,5,0
20,9,9,6,5,9,10,0,1,5,20,2,4,1,19,40,2,9,9,6,9,1,10,10,8,10,3,3,30,31,19,10,9,3,19,19,3,21,61,2,2,9,40,2,9,19,30,21,1,10
25,13,18,60,20,31,40,30,15,0,21,30,20,11,60,20,18,20,20,17,26,29,21,20,20,30,34,10,29,20,15,10,40,7,40,51,32,29,20,18,20,19,61,0,19,0,31,51,8,10
72,70,64,62,76,77,79,72,70,65,78,82,73,83,81,69,83,73,84,73,83,77,73,72,78,73,73,71,69,82,83,72,76,72,72,81,73,76,85,83,79,88,83,76,68,81,82,71,75,87
56,23,13,77,59,64,77,45,29,25,44,29,31,31,61,66,19,44,15,34,30,30,55,55,61,37,33,44,42,65,46,36,44,19,30,36,42,34,60,57,23,36,63,45,39,42,43,45,26,24
5,15,10,20,10,50,30,60,20,5,40,10,20,0,20,40,8,15,10,12,10,50,10,25,30,20,1,30,10,20,30,1,5,5,40,20,5,1,30,0,14,15,20,1,10,30,60,30,30,5
51,9,30,100,19,40,60,14,10,20,100,30,20,24,19,82,19,51,72,30,19,20,9,51,31,9,31,15,62,100,72,30,9,19,82,40,5,100,82,73,20,9,86,20,30,20,30,72,10,51
100,9,17,25,8,41,0,0,0,23,17,38,19,0,0,0,5,0,0,0,0,10,11,0,34,4,0,25,0,60,0,0,7,21,0,0,0,40,5,0,0,0,0,11,8,0,40,0,9,70
19,0,6,0,0,20,28,14,18,5,9,0,0,0,40,45,15,12,18,9,39,0,14,0,15,16,0,9,24,60,10,18,0,0,38,0,0,0,69,49,0,0,39,0,18,39,20,18,5,0
22,23,21,26,53,35,30,19,15,0,26,33,18,23,10,21,13,2,9,42,46,13,12,33,15,11,29,20,18,35,30,12,28,6,58,24,6,51,71,0,21,23,15,30,19,18,25,20,30,31
15,7,19,14,24,40,29,29,10,25,35,26,35,19,55,35,10,8,10,20,20,28,15,37,3,40,19,10,45,60,7,55,24,10,71,20,24,45,35,10,15,11,50,19,65,30,15,40,21,30
70,12,1,0,50,21,60,19,40,35,30,0,0,5,4,25,10,19,2,15,60,7,11,0,4,10,20,0,5,60,24,20,6,60,30,18,0,10,40,30,0,0,70,25,30,61,80,20,20,40
15,16,24,52,26,72,90,19,19,60,32,25,9,27,76,44,79,11,24,44,22,97,24,37,12,17,32,36,34,31,23,27,18,64,75,53,25,62,18,31,18,10,39,38,68,18,38,65,12,54
29,0,0,30,0,30,30,25,19,20,40,0,1,19,30,40,0,0,9,20,20,25,20,25,10,29,0,25,14,20,20,20,20,19,40,19,0,20,50,40,29,29,51,29,25,20,40,29,10,19
38,2,11,10,70,65,81,79,65,60,27,32,8,79,17,60,9,65,84,65,11,27,37,83,8,62,20,17,29,42,72,25,8,17,72,17,2,42,70,34,81,29,42,6,20,20,21,84,7,78
35,10,50,56,85,55,70,75,78,30,42,74,34,27,56,22,16,40,56,34,26,20,40,67,30,65,57,12,30,44,25,32,28,38,82,44,21,86,38,60,36,25,65,46,70,44,62,68,15,33
20,12,20,50,25,24,34,20,11,22,20,22,18,15,16,76,16,14,15,12,15,25,6,23,5,15,10,9,20,65,3,15,5,20,35,35,24,40,35,12,1,14,35,5,40,20,16,26,7,14
15,26,25,25,26,19,84,21,30,22,23,18,21,14,40,23,6,22,8,20,25,17,17,18,15,25,30,22,23,31,21,24,23,8,82,37,20,55,25,23,16,21,30,20,31,19,11,25,10,15
30,15,10,70,20,40,60,20,15,30,30,20,20,20,30,40,20,10,15,40,30,20,30,30,30,40,30,10,30,25,9,30,29,13,85,35,20,50,50,40,20,25,50,51,30,60,40,40,40,25
12,5,0,5,24,40,9,5,0,16,0,8,0,0,12,23,10,0,15,8,13,51,16,5,0,13,31,0,6,6,4,20,15,0,64,21,0,0,19,28,0,0,11,6,21,73,50,50,9,4
0,5,0,10,10,15,20,15,0,10,30,0,0,0,20,20,2,0,0,5,5,4,5,0,10,15,0,5,10,0,15,10,5,0,15,15,3,10,35,19,15,15,25,10,15,25,10,15,10,10
19,23,14,41,30,22,19,12,20,13,100,21,18,15,18,62,70,19,20,21,18,30,17,24,59,26,20,21,16,31,27,21,21,17,13,39,18,20,30,23,20,30,29,20,61,19,29,61,19,21
19,10,15,30,27,41,26,19,15,25,20,30,15,27,30,60,30,10,10,15,30,20,15,41,10,20,41,30,26,25,16,26,17,15,47,25,5,100,75,60,30,15,20,20,40,20,30,40,15,25
55,20,20,50,35,35,65,40,25,60,30,55,20,30,25,45,20,20,15,15,45,30,30,25,65,35,65,70,25,60,30,65,45,30,45,40,20,75,60,15,35,20,75,40,55,60,30,45,30,45
25,15,5,35,30,10,7,15,15,10,25,5,14,25,25,35,18,13,10,25,20,15,33,20,15,25,5,25,15,55,20,2,2,5,15,8,6,3,35,5,7,6,18,0,4,25,25,10,12,10
34,19,2,40,8,0,13,8,3,30,1,7,1,0,5,20,6,6,18,9,59,20,1,44,4,12,25,45,29,32,14,14,0,10,20,10,0,40,55,15,0,15,30,100,20,25,65,9,13,5
17,7,59,19,39,9,40,11,24,25,25,45,34,24,0,69,6,5,6,14,60,64,69,4,14,2,10,65,30,50,39,30,15,4,29,39,0,4,10,9,0,49,60,0,40,50,15,39,29,19
25,25,30,60,49,65,60,30,30,25,40,45,30,15,60,60,30,30,20,15,20,25,20,35,20,40,40,40,45,45,20,55,30,25,60,40,45,45,55,45,20,25,50,40,60,40,50,25,10,35
49,15,19,44,50,24,49,19,19,0,40,0,0,35,18,55,9,10,9,15,25,39,0,20,0,15,0,0,40,45,19,10,0,0,30,60,0,0,65,25,0,20,60,24,0,49,5,39,25,0
23,20,30,29,61,45,39,23,10,35,35,28,25,39,41,53,28,24,29,19,29,61,31,40,15,42,40,40,29,51,13,60,22,30,77,25,20,92,95,68,17,19,80,28,87,59,70,39,24,20
25,9,12,0,25,0,15,12,5,16,15,10,10,0,45,15,10,14,20,0,20,10,5,20,10,15,0,3,51,65,15,12,5,3,25,20,0,20,65,0,0,0,25,10,40,5,15,23,9,24
0,0,0,40,40,45,0,0,0,20,30,35,0,0,0,30,14,5,20,20,35,0,20,25,30,0,45,20,30,65,25,25,25,10,0,37,15,50,60,10,0,0,55,35,60,30,40,35,30,20
20,25,8,75,35,85,40,25,5,15,30,15,15,20,40,80,10,30,25,30,40,45,45,40,25,20,90,5,25,55,40,80,30,10,40,75,15,75,30,55,0,5,85,25,55,40,80,65,15,60
51,12,25,65,40,81,61,60,24,29,40,14,70,15,71,40,30,15,19,26,29,18,40,22,30,30,70,30,34,41,29,39,65,30,75,40,13,60,25,51,19,25,75,64,60,60,39,34,25,30
9,1,4,8,33,0,30,14,15,0,4,44,5,0,10,10,5,0,0,2,19,12,2,7,3,16,0,3,7,25,3,19,0,12,17,26,0,29,50,7,10,0,35,0,0,14,13,18,3,0
10,10,5,15,25,5,9,5,18,12,15,9,7,0,1,21,10,4,12,12,11,20,7,22,14,22,0,20,21,70,28,5,5,15,13,25,10,35,15,0,5,10,35,15,18,40,30,35,30,8
30,14,23,46,45,62,40,14,12,21,35,34,8,35,61,60,9,21,24,16,35,25,19,45,25,15,9,32,28,49,12,30,19,21,41,25,5,39,82,20,14,11,35,14,60,27,24,45,28,30
51,71,66,80,92,36,75,85,75,71,76,73,63,85,84,95,37,80,67,83,69,73,77,58,62,61,72,66,97,74,62,83,85,51,81,96,76,70,84,53,80,79,33,93,86,84,71,90,81,64
55,73,34,78,79,46,41,35,21,59,68,60,39,34,63,77,18,62,15,51,21,66,61,41,40,61,35,40,34,70,15,62,59,88,41,78,39,75,99,60,15,61,59,43,62,45,71,60,28,58
3,4,1,3,9,1,23,0,5,0,7,5,3,0,0,7,4,0,0,2,2,7,1,0,0,0,3,4,4,2,1,2,0,0,1,12,1,3,4,1,0,0,1,0,13,4,12,8,2,2
90,75,70,70,83,60,29,58,30,45,66,35,3,30,80,70,38,5,20,20,70,55,72,65,70,60,55,10,20,40,40,80,30,10,93,40,5,25,70,90,0,0,93,5,56,71,81,75,60,20
9,47,58,56,16,27,58,20,48,40,20,41,30,40,43,60,57,27,17,61,43,55,18,55,23,36,41,42,55,16,10,36,9,41,40,61,54,17,53,51,58,40,38,40,33,61,14,28,42,1
53,13,3,41,52,53,41,28,10,42,31,58,5,12,40,49,9,42,8,7,36,29,29,40,0,30,6,16,8,33,20,53,54,32,19,56,19,53,41,1,5,1,53,0,31,61,53,59,5,35
10,4,25,65,30,35,30,15,5,30,20,20,15,10,25,45,14,22,10,7,25,25,30,45,45,20,30,10,40,70,15,20,15,13,40,53,12,30,80,60,0,26,60,20,50,55,20,38,10,5
40,60,10,5,90,90,85,25,4,0,60,75,0,100,15,12,15,0,5,100,100,40,90,45,100,15,0,15,25,85,35,25,0,15,35,65,10,10,100,0,0,100,10,95,0,15,55,65,30,90
40,10,15,30,20,90,60,4,15,1,100,10,0,40,0,90,15,1,5,31,19,25,60,25,40,30,0,1,5,75,12,0,5,1,40,20,10,75,40,0,0,1,8,0,10,40,15,10,30,10
5,4,10,40,40,10,20,15,4,9,60,10,19,1,29,30,19,1,19,5,30,21,30,5,30,19,5,40,50,60,10,40,9,1,20,20,1,40,40,20,1,1,60,5,39,40,50,30,10,9
11,9,16,21,21,21,28,15,6,17,15,20,15,12,24,28,8,17,14,4,8,10,44,16,17,20,27,12,13,11,8,12,10,30,35,19,14,26,15,12,11,14,31,22,22,18,8,21,13,26
25,14,3,70,40,60,35,23,8,7,23,25,14,0,25,81,12,2,12,10,23,10,25,29,24,9,45,14,15,25,30,8,19,1,30,18,4,35,90,19,14,2,29,14,30,19,29,35,15,18
16,5,7,9,6,70,9,7,24,4,10,5,4,13,8,19,8,5,16,5,18,14,5,19,79,4,3,11,2,21,14,2,13,12,19,16,2,51,14,4,10,0,81,3,14,20,3,13,10,7
19,12,25,35,41,25,81,13,24,29,100,30,29,39,67,79,33,16,15,10,9,56,15,66,77,51,93,31,25,51,36,29,15,20,82,42,0,30,78,63,25,0,51,40,96,22,34,41,38,30
6,0,50,21,19,12,30,4,19,2,25,2,9,50,18,50,15,0,4,0,70,7,5,40,7,7,0,0,60,35,5,9,0,4,65,8,7,0,0,15,0,3,25,7,9,18,50,9,10,17
23,11,20,14,84,24,59,24,38,27,31,35,13,51,71,84,51,36,11,51,40,61,32,58,14,63,43,26,19,59,23,51,60,43,34,46,40,51,95,99,14,14,81,31,40,16,56,44,12,12
100,5,20,50,25,75,100,35,20,20,100,40,20,35,30,30,10,20,20,30,50,20,15,20,35,20,70,10,20,50,15,10,10,0,75,75,30,20,100,100,20,50,50,0,50,30,30,50,30,10
30,10,10,30,20,40,50,20,10,40,70,30,30,20,80,60,10,10,5,5,30,30,10,50,30,20,10,20,10,70,10,50,20,10,60,30,10,40,40,50,5,5,50,40,50,60,40,20,30,20
32,10,4,15,35,30,5,25,30,7,16,25,8,4,25,24,14,19,15,5,40,11,11,7,31,26,21,40,10,11,4,18,25,24,30,12,3,23,100,11,9,9,25,5,4,2,9,35,15,21
0,5,0,0,35,15,0,0,10,15,10,15,10,15,0,35,10,0,9,0,35,0,0,0,20,20,0,0,30,40,0,15,9,5,50,16,0,19,15,0,0,0,35,10,35,30,0,35,15,15
20,0,10,20,25,30,50,20,0,20,20,10,0,9,50,60,25,40,15,20,10,15,15,30,0,0,35,10,40,65,15,10,15,10,25,20,0,19,70,40,0,10,60,15,35,40,20,15,25,20
28,7,17,40,36,54,29,11,20,29,50,40,9,31,44,69,16,20,20,16,17,20,14,27,46,19,28,16,25,30,18,19,14,26,45,29,9,26,58,76,19,23,30,10,45,45,41,40,6,18
85,94,80,89,81,84,85,90,93,89,87,86,78,84,88,91,90,90,79,87,87,95,85,88,88,89,87,90,85,85,83,89,87,84,74,91,89,82,90,87,82,85,93,82,90,87,90,90,83,86
10,5,22,30,21,0,34,7,0,35,17,39,0,20,13,70,5,8,23,5,23,3,18,26,19,30,0,0,29,44,34,13,0,0,0,4,0,2,27,4,5,0,40,21,0,19,8,5,12,8
0,0,0,0,0,20,0,0,20,19,8,0,0,0,30,71,0,9,9,0,31,51,0,0,0,0,0,20,20,73,4,10,15,0,11,9,0,0,0,4,0,0,5,29,41,19,8,10,9,8
5,10,10,50,30,60,40,20,40,0,100,40,0,0,10,30,0,0,5,25,45,40,1,10,30,25,0,40,10,20,40,30,50,10,10,50,30,5,40,0,10,0,40,0,50,20,40,30,40,20
92,59,65,51,82,88,100,36,75,43,81,44,70,51,59,51,46,51,82,44,100,82,31,64,100,67,42,43,41,56,63,40,79,57,50,69,83,51,77,59,61,26,60,33,100,42,99,41,79,80
36,66,32,25,31,29,44,24,24,65,61,61,19,29,76,61,58,26,42,18,20,40,32,74,43,25,61,37,40,65,30,30,31,63,36,25,29,31,91,38,26,29,72,24,34,17,34,35,19,22
29,9,14,19,24,19,29,9,14,19,14,19,9,14,29,19,14,14,9,9,9,14,19,19,19,19,19,9,29,59,14,9,9,4,29,12,9,29,59,9,4,12,6,29,19,39,14,19,24,9
38,59,72,40,44,73,76,67,62,71,76,75,79,26,35,61,72,81,33,72,36,40,73,66,38,41,37,36,36,36,72,60,75,39,77,80,38,71,72,39,39,40,72,32,38,46,68,65,38,36
30,24,20,70,51,52,68,21,50,28,16,51,24,20,78,16,56,37,15,20,28,76,40,70,18,72,27,31,20,19,18,23,30,100,28,43,22,75,27,43,33,38,37,19,100,28,66,38,19,22
10,0,0,15,10,20,20,10,8,0,12,20,5,8,0,10,3,0,5,5,15,10,5,5,10,10,0,0,0,35,5,15,20,2,15,15,0,15,10,0,5,0,30,15,20,15,18,20,3,15
38,13,41,40,42,67,46,31,58,41,70,45,37,40,65,66,26,31,44,13,16,45,42,46,45,56,45,34,52,84,28,44,44,28,68,30,37,34,89,54,18,37,80,46,65,38,62,72,35,18
5,20,4,30,5,30,25,3,3,0,1,20,0,0,5,20,0,0,0,0,0,0,0,1,10,15,0,5,7,27,25,9,3,5,15,35,6,5,50,20,0,0,20,19,12,2,3,19,14,9
90,88,91,94,90,90,91,85,87,95,97,92,88,94,95,96,94,89,93,94,89,88,95,96,95,89,92,96,86,90,93,95,87,91,92,94,91,95,97,95,98,94,90,91,95,93,94,92,93,92
33,8,32,13,34,31,14,11,11,29,31,44,12,30,28,27,17,15,19,12,25,30,14,14,17,19,16,5,46,25,6,10,5,26,64,24,38,70,69,3,1,20,26,14,34,20,12,44,3,20
19,10,10,100,100,73,51,29,30,20,51,40,10,10,100,100,31,40,25,25,30,25,30,51,30,31,30,10,40,30,29,25,15,19,100,100,6,62,15,40,20,10,51,30,31,30,51,61,20,10
14,5,5,30,12,40,10,9,2,7,0,20,0,12,0,50,6,0,8,4,9,5,11,5,10,15,0,0,15,9,10,0,3,15,10,7,2,0,0,0,0,0,35,0,0,10,10,20,5,15
16,9,9,29,25,18,47,19,31,12,14,19,11,19,20,44,28,8,29,10,19,22,13,19,19,8,30,20,18,51,16,10,19,15,18,25,26,30,59,18,6,12,19,26,29,24,12,31,29,9
20,25,5,20,30,50,0,30,60,10,70,0,10,40,0,15,1,10,5,45,40,0,45,0,35,50,30,5,0,60,25,0,15,0,40,40,20,0,30,0,0,0,5,0,40,50,40,35,50,0
0,5,11,70,50,10,30,10,0,0,17,20,0,20,0,0,0,0,0,15,10,40,6,10,80,10,5,10,0,18,10,10,0,22,41,10,30,50,20,0,0,90,8,4,0,30,11,20,5,9
31,32,4,22,68,74,72,32,41,67,8,40,40,29,1,74,37,21,40,16,10,22,0,30,81,34,1,30,69,64,18,63,33,3,73,29,0,0,5,8,31,0,45,0,0,38,41,62,39,38
13,9,9,51,24,40,60,15,13,19,40,30,19,15,30,25,15,14,14,14,15,19,29,29,9,14,13,9,9,30,19,19,19,19,40,51,17,40,20,29,9,24,30,19,20,30,19,30,17,20
45,5,5,18,25,30,55,15,5,15,10,10,8,10,25,10,7,9,7,15,25,40,8,35,25,40,40,20,30,50,8,25,20,4,60,30,0,25,35,8,20,4,20,55,30,30,15,25,20,15
30,10,30,30,40,62,25,10,5,10,30,62,5,20,30,40,20,14,20,15,14,5,5,29,9,20,9,14,40,30,20,10,2,5,10,9,4,22,100,20,4,15,5,13,9,20,40,15,10,5
5,5,5,10,10,10,40,1,5,15,4,10,2,1,5,10,10,1,5,4,5,20,1,10,5,10,10,10,15,20,10,20,10,40,50,15,1,5,15,10,10,1,1,10,19,10,5,10,5,5
30,15,0,15,30,10,40,10,25,10,20,30,0,10,40,60,0,0,10,0,15,20,0,20,0,25,0,10,30,20,20,25,4,5,50,25,0,0,85,20,0,0,25,0,50,20,20,30,5,15
25,3,8,12,0,20,0,15,0,0,0,5,0,8,0,30,5,6,0,13,0,6,18,30,25,0,5,12,14,30,17,18,10,11,12,0,13,30,32,0,0,5,24,0,15,15,24,25,0,5
74,83,68,74,74,86,71,76,74,78,69,82,89,64,75,70,73,77,74,65,77,69,75,79,76,68,67,77,80,75,71,80,72,85,73,68,74,78,72,80,67,63,77,77,76,72,72,76,91,67
11,16,30,75,66,40,53,5,21,75,21,41,12,22,33,75,32,20,11,6,71,41,20,42,10,44,0,41,52,42,20,60,30,10,56,10,5,45,65,20,20,33,38,31,0,60,51,42,10,22
25,14,30,50,31,51,51,40,19,50,40,40,31,25,61,71,37,15,30,10,15,60,16,41,30,18,72,10,51,60,10,62,20,20,65,41,60,30,90,45,15,10,50,30,60,70,70,41,71,60
13,3,10,26,17,8,43,16,11,26,35,23,9,1,10,20,6,1,3,5,5,13,11,19,10,15,0,15,30,41,18,10,4,2,61,23,4,9,40,25,21,20,41,23,19,21,42,9,7,21
15,10,15,35,61,60,74,53,10,20,50,20,18,15,65,50,19,17,15,0,15,30,40,15,13,20,60,20,35,65,15,55,35,15,54,2,4,100,60,45,12,4,65,65,70,25,30,70,8,7
32,6,13,21,80,28,25,15,17,19,15,10,4,8,24,51,17,13,13,15,16,21,21,18,17,3,40,18,1,38,17,25,15,18,53,10,7,80,90,30,23,13,52,23,39,86,52,53,1,13
79,81,83,82,84,77,79,81,66,80,81,80,86,86,84,82,74,81,73,80,75,78,83,85,73,81,82,79,86,81,74,82,81,78,78,80,84,82,82,81,75,75,80,79,75,79,77,80,83,80
62,21,61,26,65,59,27,71,62,37,36,61,62,39,29,69,38,38,65,33,70,61,54,60,23,81,67,61,63,30,41,39,65,70,76,63,44,28,36,79,38,30,38,33,66,43,64,85,62,72
50,10,35,50,30,40,75,25,15,30,30,20,25,13,70,40,20,30,40,15,20,30,30,50,10,40,50,10,40,60,15,30,6,30,60,35,9,40,70,40,4,8,45,40,38,50,33,20,16,32
0,0,0,5,10,5,10,5,5,0,5,0,0,0,10,10,9,0,8,5,10,10,0,10,10,5,0,0,35,20,10,0,0,0,15,10,0,0,20,0,0,10,0,5,0,15,0,5,15,0
20,5,10,40,30,40,60,20,25,30,10,30,5,0,40,60,5,5,5,15,30,30,15,40,15,60,20,10,20,50,10,20,15,10,80,30,5,75,80,10,0,0,70,0,70,30,30,40,10,20
2,40,40,19,75,41,75,35,9,4,30,10,8,50,91,71,9,9,5,2,21,50,20,40,60,71,29,40,10,51,30,5,20,2,0,1,3,21,10,9,50,81,71,0,3,19,92,61,20,5
42,4,0,40,31,9,0,8,5,7,54,7,0,0,69,3,0,13,0,13,9,18,7,8,51,24,51,0,0,62,13,8,9,1,0,18,8,0,12,0,0,0,6,0,29,51,3,30,41,12
40,28,9,29,45,37,67,16,37,36,34,45,10,22,27,38,10,8,6,30,7,39,37,48,18,24,30,12,14,25,12,50,15,5,42,28,19,81,63,39,12,18,37,28,69,14,60,71,9,14
16,18,16,16,56,32,29,23,13,10,24,29,16,20,39,26,16,12,15,27,20,15,11,32,27,19,68,18,23,46,7,17,27,9,52,24,6,28,67,34,6,16,44,28,24,25,36,32,5,13
25,14,15,46,35,18,59,19,17,36,29,24,8,19,29,78,10,14,13,8,15,26,22,17,46,12,40,15,19,38,13,17,37,10,15,25,10,66,79,12,4,6,69,14,35,60,20,15,9,59
35,20,25,30,30,35,70,25,20,60,40,25,25,25,55,50,10,20,25,10,30,30,30,70,45,25,35,30,30,60,15,35,30,35,100,45,15,60,30,30,25,45,80,40,35,30,15,65,15,40
70,10,15,15,20,30,40,35,9,40,10,10,5,20,15,35,10,10,9,10,20,15,10,15,30,10,20,15,10,55,20,25,25,15,5,25,5,10,20,20,15,5,40,20,20,20,30,15,20,20
30,15,9,26,10,29,29,15,19,2,20,4,9,13,9,19,5,20,9,9,30,10,8,30,19,30,19,10,19,50,9,1,18,10,29,10,0,14,5,10,0,0,36,2,19,19,8,20,17,10
21,2,3,25,11,11,25,2,0,20,10,4,3,4,10,30,6,4,8,2,30,8,10,20,40,10,35,14,5,11,6,25,35,5,5,15,7,35,40,7,0,0,25,5,8,16,11,15,5,5
75,67,66,67,71,71,68,70,75,68,69,70,76,71,68,69,76,72,67,69,67,70,73,64,72,59,65,69,70,63,64,59,69,68,74,69,75,65,70,71,72,71,72,71,65,76,70,76,72,67
29,10,5,10,0,26,19,40,20,9,9,14,19,0,20,0,40,9,10,10,10,9,10,10,7,29,19,4,5,5,13,9,60,40,20,10,6,60,20,9,4,10,0,41,59,9,5,58,12,29
12,9,0,24,28,92,7,41,16,70,10,6,0,0,32,82,28,68,28,16,20,83,32,30,92,41,50,28,7,10,30,80,15,4,58,100,0,86,3,14,97,0,61,3,93,71,33,73,51,38
10,4,14,26,30,18,18,4,7,15,13,22,11,14,8,24,9,6,8,9,16,15,11,9,5,6,27,8,8,16,5,15,0,9,18,5,11,25,17,20,9,0,15,3,28,15,12,15,5,12
5,10,3,5,20,8,10,10,4,11,20,12,0,4,20,15,7,5,6,2,15,5,0,10,15,10,5,10,25,40,5,5,3,3,18,40,0,5,19,3,5,0,15,5,20,8,15,7,6,15
